City_ID,City,Country,Cloudiness,Humidity,Lat,Lng,Max_Temp,Wind_Speed
153,petropavlovsk-kamchatskiy,RU,20,77,53.05,158.65,60.8,8.95
154,hami,CN,100,22,42.8,93.45,90.14,2.55
155,carnarvon,AU,0,46,-24.87,113.63,69.8,11.41
156,los llanos de aridane,ES,75,78,28.66,-17.92,71.6,20.8
157,corozal,CO,96,91,9.32,-75.29,75.51,7.63
158,north platte,US,2,64,41.12,-100.77,71.01,1.01
159,longyearbyen,SJ,40,81,78.22,15.64,48.2,6.93
160,sudzha,RU,0,86,51.2,35.27,58.98,5.86
161,hay river,CA,75,72,60.82,-115.8,68,9.17
162,dawson creek,CA,20,49,55.77,-120.24,73.4,10.29
163,orangeburg,US,1,88,33.49,-80.86,79,4.7
164,champerico,GT,100,75,14.3,-91.92,83.1,1.9
165,dzhebariki-khaya,RU,100,38,62.22,135.8,80.94,12.95
166,taltal,CL,100,72,-25.4,-70.48,57.63,1.77
167,broome,US,1,56,42.25,-75.83,73.4,4.7
168,pisco,PE,0,87,-13.7,-76.22,57.2,2.24
169,sobolevo,RU,62,93,54.43,31.9,56.19,5.55
170,arraial do cabo,BR,0,84,-22.97,-42.03,70.45,18.14
171,lakes entrance,AU,1,73,-37.88,147.98,55,3
172,raudeberg,NO,100,87,61.99,5.14,50,3.36
173,yellowknife,CA,40,56,62.46,-114.35,71.01,10.29
174,ibra,OM,100,67,22.69,58.53,81.68,2.8
175,gamba,GA,88,90,-2.65,10,70.3,4.61
176,bogorodskoye,RU,100,98,56.55,37.88,58.05,7.9
177,kalemie,CD,67,64,-5.95,29.19,70.11,0.51
178,naze,JP,75,79,28.37,129.48,86,5.82
179,bethel,US,1,78,41.37,-73.41,75,3.36
180,clyde river,CA,90,100,70.47,-68.59,42.8,10.29
181,sola,VU,100,68,-13.88,167.55,76.57,13.13
182,baudh,IN,100,61,20.84,84.32,88.11,7.78
183,homer,US,1,72,59.64,-151.55,62.6,13.87
184,baruun-urt,MN,52,37,46.68,113.28,77.16,15.01
185,hibbing,US,1,72,47.43,-92.94,62.6,3.36
186,dikson,RU,100,95,73.51,80.55,39.79,12.75
187,ilo,PE,99,77,-17.64,-71.34,58.48,2.13
